iter	Passed	Remaining
0	2	207
1	4	210
2	6	201
3	7	190
4	9	188
5	11	186
6	13	181
7	15	177
8	17	175
9	19	175
10	21	172
11	23	170
12	25	168
13	26	165
14	28	162
15	30	159
16	32	157
17	34	155
18	35	153
19	37	150
20	39	147
21	41	145
22	42	143
23	44	141
24	46	139
25	48	137
26	49	134
27	51	132
28	53	130
29	55	128
30	57	127
31	59	125
32	60	123
33	62	121
34	64	120
35	66	119
36	68	117
37	70	115
38	72	113
39	74	112
40	76	110
41	77	107
42	79	105
43	81	103
44	83	101
45	85	100
46	87	98
47	89	96
48	91	94
49	93	93
50	95	91
51	97	89
52	99	87
53	101	86
54	102	83
55	104	81
56	106	80
57	107	78
58	109	76
59	111	74
60	113	72
61	115	70
62	116	68
63	118	66
64	120	64
65	122	63
66	124	61
67	125	59
68	128	57
69	130	55
70	132	53
71	134	52
72	135	50
73	137	48
74	139	46
75	141	44
76	143	43
77	145	41
78	148	39
79	150	37
80	151	35
81	154	33
82	156	31
83	157	30
84	159	28
85	161	26
86	163	24
87	165	22
88	167	20
89	169	18
90	171	16
91	173	15
92	175	13
93	177	11
94	179	9
95	180	7
96	182	5
97	184	3
98	186	1
99	188	0
