iter	Passed	Remaining
0	194	194606
1	197	98613
2	199	66282
3	201	50082
4	202	40381
5	204	33906
6	206	29277
7	208	25844
8	210	23202
9	213	21117
10	215	19369
11	217	17897
12	219	16628
13	220	15552
14	222	14633
15	225	13845
16	227	13128
17	228	12487
18	230	11918
19	232	11413
20	234	10949
21	236	10517
22	238	10138
23	240	9782
24	242	9452
25	244	9147
26	246	8865
27	247	8604
28	249	8369
29	251	8146
30	254	7942
31	255	7737
32	257	7548
33	259	7370
34	261	7206
35	263	7057
36	265	6910
37	267	6771
38	269	6640
39	271	6508
40	273	6385
41	275	6272
42	276	6161
43	278	6049
44	280	5947
45	282	5852
46	284	5759
47	285	5667
48	287	5578
49	289	5498
50	291	5418
51	292	5341
52	294	5269
53	296	5202
54	298	5134
55	300	5069
56	302	5005
57	304	4945
58	306	4889
59	308	4834
60	310	4781
61	312	4733
62	314	4683
63	316	4633
64	318	4584
65	320	4536
66	322	4490
67	324	4447
68	326	4410
69	328	4367
70	330	4325
71	332	4286
72	334	4246
73	336	4208
74	338	4170
75	340	4135
76	342	4101
77	344	4067
78	345	4031
79	347	4000
80	349	3970
81	351	3938
82	352	3899
83	354	3869
84	356	3838
85	358	3809
86	360	3781
87	362	3754
88	364	3726
89	365	3700
90	367	3675
91	370	3652
92	372	3628
93	373	3604
94	375	3580
95	377	3555
96	379	3532
97	381	3508
98	383	3487
99	385	3467
100	387	3445
101	389	3425
102	391	3405
103	392	3383
104	394	3364
105	396	3343
106	398	3324
107	400	3306
108	402	3289
109	404	3270
110	405	3250
111	407	3232
112	409	3214
113	411	3195
114	413	3180
115	415	3164
116	416	3145
117	418	3128
118	420	3111
119	422	3095
120	423	3078
121	425	3061
122	427	3049
123	429	3035
124	431	3019
125	433	3005
126	434	2989
127	436	2975
128	438	2961
129	440	2946
130	442	2934
131	444	2921
132	445	2907
133	447	2893
134	449	2882
135	451	2871
136	453	2858
137	455	2848
138	471	2921
139	473	2909
140	475	2898
141	476	2882
142	478	2870
143	480	2858
144	482	2845
